"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"CAA19940285","PARKE LOS ROBLES","626 N LOS ROBLES AVE","PASADENA","CA","91101","Los Angeles County","12","12","Not Indicated"
"CAA19940290","PARKVIEW APTS (LOS ANGELES)","622 S ALVARADO ST","LOS ANGELES","CA","90057","Los Angeles County","198","198","Not Indicated"
"CAA19940315","PRODUCE PLACE","676 S CENTRAL AVE","LOS ANGELES","CA","90021","Los Angeles County","95","95","Not Indicated"
"CAA19940320","REGENCY 50","14540 BLYTHE ST","PANORAMA CITY","CA","91402","Los Angeles County","50","50","Not Indicated"
"CAA19940325","ROHIT VILLAS","122 E 120TH ST","LOS ANGELES","CA","90061","Los Angeles County","16","7","Not Indicated"
"CAA19940330","ROSAMEL APTS","1240 ELDEN AVE","LOS ANGELES","CA","90006","Los Angeles County","9","9","Not Indicated"
"CAA19940350","SECOND STREET CENTER","1423 SECOND ST","SANTA MONICA","CA","90401","Los Angeles County","44","44","Not Indicated"
"CAA19940410","THE CARLTON APTS","5425 CARLTON WAY","LOS ANGELES","CA","90027","Los Angeles County","24","24","Not Indicated"
"CAA19940450","VILLA ESPERANZA","255 E 28TH ST","LOS ANGELES","CA","90011","Los Angeles County","33","33","Not Indicated"
"CAA19940490","WITMER CITY LIGHTS","319 WITMER ST","LOS ANGELES","CA","90017","Los Angeles County","16","16","Not Indicated"
"CAA19940494","CAMBRIDGE PLACE","421 W 33RD ST","LONG BEACH","CA","90806","Los Angeles County","24","24","Not Indicated"
"CAA19940497","HOLLY STREET VILLAGE","151 E HOLLY ST","PASADENA","CA","91103","Los Angeles County","374","75","Not Indicated"
"CAA19940498","HOLLYWOOD EL CENTRO APTS","6211 DE LONGPRE AVE","LOS ANGELES","CA","90028","Los Angeles County","88","88","Not Indicated"
"CAA19940502","PARKER HOTEL","725 WITMER ST","LOS ANGELES","CA","90017","Los Angeles County","32","31","Not Indicated"
"CAA19950015","VISTA VALLE TOWNHOMES","670 W SAN JOSE AVE","CLAREMONT","CA","91711","Los Angeles County","48","47","Not Indicated"
"CAA19950016","COURTLAND HOTEL","520 WALL ST","LOS ANGELES","CA","90013","Los Angeles County","97","97","Not Indicated"
"CAA19950018","COMMUNITY OF SANTA MONICA","815 ASHLAND AVE","SANTA MONICA","CA","90405","Los Angeles County","45","45","Not Indicated"
"CAA19950020","ALTADENA VISTAS APTS","815 E CALAVERAS ST","ALTADENA","CA","91001","Los Angeles County","22","22","Not Indicated"
"CAA19950023","AVALON COURTYARD","22121 AVALON BLVD","CARSON","CA","90745","Los Angeles County","91","91","Not Indicated"
"CAA19950024","AVENIDA TERRACE APTS","245 S AVE 54","HIGHLAND PARK","CA","90042","Los Angeles County","8","8","Not Indicated"
"CAA19950030","CANAAN GARDENS","641 E 27TH ST","LOS ANGELES","CA","90011","Los Angeles County","7","7","Not Indicated"
"CAA19950032","CASA HEIWA","231 E THIRD ST","LOS ANGELES","CA","90013","Los Angeles County","100","99","Not Indicated"
"CAA19950033","CASA RITA","6508 RITA AVE","HUNTINGTON PARK","CA","90255","Los Angeles County","103","102","Not Indicated"
"CAA19950044","CRESCENT ARMS","1709 W EIGHTH ST","LOS ANGELES","CA","90017","Los Angeles County","186","184","Not Indicated"
"CAA19950049","EDWARD HOTEL","713 E FIFTH ST","LOS ANGELES","CA","90013","Los Angeles County","47","46","Not Indicated"
"CAA19950053","FAME MANOR","3210 W ADAMS BLVD","LOS ANGELES","CA","90018","Los Angeles County","56","56","Not Indicated"
"CAA19950057","FUMBAH MANOR","832 S LAKE ST","LOS ANGELES","CA","90057","Los Angeles County","18","18","Not Indicated"
"CAA19950064","LA BREA/FRANKLIN APTS","1801 N LA BREA AVE","LOS ANGELES","CA","90046","Los Angeles County","40","40","Not Indicated"
"CAA19950067","LA MIRADA SENIOR APTS","15811 ALICANTE RD","LA MIRADA","CA","90638","Los Angeles County","100","100","Not Indicated"
"CAA19950068","LA POSADA","375 COLUMBIA AVE","LOS ANGELES","CA","90017","Los Angeles County","61","61","Not Indicated"
"CAA19950069","LA VILLA MARIPOSA","345 COLUMBIA AVE","LOS ANGELES","CA","90017","Los Angeles County","115","115","Not Indicated"
"CAA19950072","LAS PALOMAS HOTEL","2201 E FIRST ST","LOS ANGELES","CA","90033","Los Angeles County","65","65","Not Indicated"
"CAA19950074","MANILA TERRACE APTS","2328 W TEMPLE ST","LOS ANGELES","CA","90026","Los Angeles County","30","29","Not Indicated"
"CAA19950076","MARINA APTS","722 S CORONADO ST","LOS ANGELES","CA","90057","Los Angeles County","64","63","Not Indicated"
"CAA19950079","MERCEDES APTS","727 S CARONDELET ST","LOS ANGELES","CA","90057","Los Angeles County","47","46","Not Indicated"
"CAA19950081","MIDTOWN GARDENS","400 N VERMONT AVE","LOS ANGELES","CA","90004","Los Angeles County","205","141","Not Indicated"
"CAA19950085","NORBO HOTEL DEVELOPMENT","526 E SIXTH ST","LOS ANGELES","CA","90021","Los Angeles County","57","57","Not Indicated"
"CAA19950090","PARK PLACE APTS","2500 W FOURTH ST","LOS ANGELES","CA","90057","Los Angeles County","49","49","Not Indicated"
"CAA19950100","SEA GATE VILLAGE","1450 LOCUST AVE","LONG BEACH","CA","90813","Los Angeles County","44","44","Not Indicated"
"CAA19950104","ST ANDREWS BUNGALOW COURT","1514 N ST ANDREWS PL","LOS ANGELES","CA","90028","Los Angeles County","16","16","Not Indicated"
"CAA19950111","VALLEY VILLAGE APTS","12111 CHANDLER BLVD","VALLEY VILLAGE","CA","91607","Los Angeles County","188","188","Not Indicated"
"CAA19950112","VILLA DEL PUEBLO","1441 S HOPE ST","LOS ANGELES","CA","90015","Los Angeles County","81","81","Not Indicated"
"CAA19950113","VILLA FLORENTINA","4576 FLORENCE AVE","BELL","CA","90201","Los Angeles County","13","13","Not Indicated"
"CAA19950117","VINELAND PLACE","7843 VINELAND AVE","SUN VALLEY","CA","91352","Los Angeles County","18","18","Not Indicated"
"CAA19950118","WASHINGTON VILLA APTS","264 E WASHINGTON BLVD","PASADENA","CA","91104","Los Angeles County","21","21","Not Indicated"
"CAA19950119","WELDON HOTEL","507 MAPLE AVE","LOS ANGELES","CA","90013","Los Angeles County","58","58","Not Indicated"
"CAA19950120","WERNER ILLING HOUSE","1924 ARGYLE AVE","HOLLYWOOD","CA","90068","Los Angeles County","21","20","Not Indicated"
"CAA19950122","YOUNG APTS","1621 S GRAND AVE","LOS ANGELES","CA","90015","Los Angeles County","66","65","Not Indicated"
"CAA19960005","ALABAMA COURT","7440 ALABAMA AVE","CANOGA PARK","CA","91303","Los Angeles County","42","42","Not Indicated"
"CAA19960020","ASHWOOD COURT","19201 NORDHOFF ST","NORTHRIDGE","CA","91324","Los Angeles County","72","72","Not Indicated"
"CAA19960100","ROSSMORE HOTEL","905 E SIXTH ST","LOS ANGELES","CA","90021","Los Angeles County","60","60","Not Indicated"
